Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,136.906,-111.76,-90.0,top
C2,1u,C_0402_1005Metric,138.176,-98.425,90.0,top
C3,100n,C_0402_1005Metric,133.35,-97.409,90.0,top
C4,100n,C_0402_1005Metric,139.319,-99.314,90.0,top
C5,1u,C_0402_1005Metric,140.843,-105.976,0.0,top
C6,100n,C_0402_1005Metric,134.493,-97.409,90.0,top
C7,10u,C_0603_1608Metric,156.083,-99.866,-90.0,top
C8,100n,C_0402_1005Metric,140.589,-101.53849,0.0,top
C9,100n,C_0402_1005Metric,140.97,-102.997,0.0,top
C10,100n,C_0402_1005Metric,128.369,-101.981,180.0,top
C11,100n,C_0402_1005Metric,128.27,-106.172,180.0,top
C12,10u,C_0603_1608Metric,151.13,-104.267,0.0,top
C13,100n,C_0402_1005Metric,135.71,-111.76,-90.0,top
C14,30p,C_0402_1005Metric,132.0,-111.62,180.0,top
C15,30p,C_0402_1005Metric,131.96,-117.24,0.0,top
C16,100n,C_0603_1608Metric,128.682,-91.313,180.0,top
C17,1n5,C_0603_1608Metric,136.285,-140.13,0.0,top
C18,33n,C_0603_1608Metric,156.03,-137.348,0.0,top
C19,10n,C_0402_1005Metric,150.95,-119.439,90.0,top
C20,10n,C_0402_1005Metric,121.412,-128.44,-90.0,top
C21,15n,C_0603_1608Metric,148.029,-122.233,-90.0,top
C22,15n,C_0603_1608Metric,124.46,-131.445,90.0,top
C23,10n,C_0402_1005Metric,155.522,-134.044,0.0,top
C24,.047u,C_0603_1608Metric,145.616,-127.315,-90.0,top
C25,.047u,C_0603_1608Metric,127.0,-123.937,90.0,top
C26,180n,C_0805_2012Metric,150.317,-139.634,180.0,top
C27,10n,C_0402_1005Metric,149.045,-133.792,180.0,top
C28,10n,C_0402_1005Metric,128.3165,-148.209,-90.0,top
C29,1u,C_0402_1005Metric,129.54,-148.209,-90.0,top
C30,.047u,C_0603_1608Metric,145.616,-130.617,90.0,top
C31,560p,C_0402_1005Metric,134.239,-135.001,0.0,top
C32,33n,C_0603_1608Metric,116.078,-112.649,180.0,top
C33,33n,C_0603_1608Metric,134.747,-132.461,0.0,top
C34,4u7,CP_Elec_4x5.4,120.015,-145.669,180.0,top
C35,33n,C_0603_1608Metric,134.747,-129.921,0.0,top
C36,1u,C_0402_1005Metric,126.238,-148.209,-90.0,top
C37,33n,C_0603_1608Metric,134.747,-127.381,0.0,top
C38,10n,C_0402_1005Metric,116.967,-118.745,180.0,top
C39,220n,C_0402_1005Metric,121.539,-113.665,90.0,top
C40,10n,C_0402_1005Metric,123.571,-117.348,0.0,top
C41,.047u,C_0603_1608Metric,127.0,-120.597,-90.0,top
C42,22u,C_1206_3216Metric,116.205,-128.651,180.0,top
C43,0.1u,C_0402_1005Metric,152.855,-124.648,0.0,top
C44,0.1u,C_0402_1005Metric,151.585,-133.792,180.0,top
C45,47n,C_0603_1608Metric,144.13,-122.758,180.0,top
C46,47n,C_0603_1608Metric,126.238,-112.776,180.0,top
C47,0.1u,C_0402_1005Metric,119.67,-127.94,0.0,top
C48,0.1u,C_0402_1005Metric,120.777,-118.872,180.0,top
C49,.047u,C_0603_1608Metric,113.17,-124.96,-90.0,top
C50,0.1u,C_0402_1005Metric,154.41,-143.095,90.0,top
C51,0.1u,C_0402_1005Metric,145.415,-146.177,90.0,top
C52,47p,C_0402_1005Metric,149.86,-149.1,0.0,top
D1,D_Schottky,D_SMA,148.266,-93.77,180.0,top
D2,D_Schottky,D_SMA,157.537,-93.389,90.0,top
